player_id,In Player Stats File,team_id,season,league,player,age,team,position,games,games_started,minutes_played,per,ts_percent,three_attempt_rt,free_throw_rt,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,offensive_ws,defensive_ws,ws,ws_per48,offensive_bpm,defensive_bpm,bpm,vorp
blackle01WAS2026,Leaky Black,WAS2026,2026,NBA,Leaky Black,26,WAS,SF,9,5,281,10,0.566,0.459,0.131,0.049,0.154,0.101,0.079,0.012,0.022,0.085,0.105,0.2,0.1,0.3,0.054,-2.1,-1.2,-3.3,-0.1
boehebu01OKC2026,Buddy Boeheim,OKC2026,2026,NBA,Buddy Boeheim,26,OKC,SF,4,0,15,4.7,0.5,1,0,0,0,0,0,0,0,0,0.173,0,0,0,0.013,-3.8,-4.6,-8.4,0
bogdabo01LAC2026,Bogdan Bogdanović,LAC2026,2026,NBA,Bogdan Bogdanović,33,LAC,SG,21,3,429,8.2,0.507,0.603,0.177,0.017,0.132,0.076,0.166,0.012,0.002,0.146,0.184,-0.2,0.3,0.1,0.009,-2.9,-0.9,-3.9,-0.2
bonaad01PHI2026,Adem Bona,PHI2026,2026,NBA,Adem Bona,22,PHI,C,65,14,1132,12.8,0.626,0.03,0.527,0.113,0.166,0.139,0.033,0.012,0.067,0.171,0.111,1.2,1.3,2.6,0.108,-3.3,0.3,-3,-0.3
bookede01PHO2026,Devin Booker,PHO2026,2026,NBA,Devin Booker,29,PHO,SG,60,60,2000,20.3,0.585,0.309,0.436,0.025,0.106,0.064,0.3,0.012,0.009,0.126,0.321,4.3,1.7,5.9,0.143,3.1,-1,2.1,2.1
bouchch01BOS2026,Chris Boucher,BOS2026,2026,NBA,Chris Boucher,33,BOS,PF,9,0,94,7.8,0.392,0.6,0.16,0.024,0.183,0.105,0.041,0.027,0.075,0.036,0.128,-0.1,0.2,0.1,0.064,-5.9,2.7,-3.2,0
bouyeja01PHO2026,Jamaree Bouyea,PHO2026,2026,NBA,Jamaree Bouyea,26,PHO,PG,41,0,570,14.1,0.535,0.33,0.153,0.03,0.117,0.072,0.174,0.024,0.024,0.092,0.177,0.5,0.7,1.2,0.104,-1,1.4,0.4,0.4
bradlto01IND2026,Tony Bradley,IND2026,2026,NBA,Tony Bradley,28,IND,C,38,3,416,13.1,0.604,0.019,0.406,0.143,0.137,0.14,0.068,0.007,0.014,0.12,0.145,0.7,0.2,0.9,0.101,-2.4,-1.7,-4.1,-0.2
branhma01WAS2026,Malaki Branham,WAS2026,2026,NBA,Malaki Branham,22,WAS,SG,28,0,275,14.1,0.604,0.407,0.374,0.046,0.126,0.086,0.118,0.017,0.01,0.124,0.184,0.3,0.1,0.4,0.067,-0.8,-1.5,-2.3,0
braunch01DEN2026,Christian Braun,DEN2026,2026,NBA,Christian Braun,24,DEN,SG,40,40,1263,12.2,0.601,0.359,0.275,0.052,0.113,0.084,0.116,0.01,0.008,0.098,0.148,1.8,0.7,2.5,0.096,-0.6,-0.9,-1.5,0.2
