team_id,season,league,team,abbreviation,playoffs,games,minutes_played,fg_per_100_poss,fga_per_100_poss,fg_percent,made_3_per_100poss,attempted_3p_per_100poss,three_point_percent,made_2p_per_100poss,attempted_2p_per_100poss,two_point_percent,ft_per_100poss,fta_per_100poss,ft_percent,orb_per_100poss,drb_per_100poss,trb_per_100poss,ast_per_100poss,stl_per_100poss,blk_per_100poss,tov_per_100poss,pf_per_100poss,pts_per_100poss
HOU2026,2026,NBA,Houston Rockets,HOU,FALSE,75,18225,43.9,92.2,0.476,11.7,32.1,0.364,32.2,60.1,0.536,18.2,24,0.761,15.5,34,49.5,26,8.9,6,16.1,18.9,117.8
IND2026,2026,NBA,Indiana Pacers,IND,FALSE,75,18075,40.2,87.9,0.457,13,36.8,0.355,27.1,51.1,0.531,17.4,22.5,0.773,9.7,31.4,41.2,26.9,7.1,4.6,14.2,20.9,110.8
LAC2026,2026,NBA,Los Angeles Clippers,LAC,FALSE,76,18340,41.7,85.9,0.486,12.8,34.7,0.367,29,51.1,0.567,21.3,25.8,0.823,9.8,32.1,41.9,24.5,9.4,5.1,14.9,19.3,117.5
LAL2026,2026,NBA,Los Angeles Lakers,LAL,FALSE,76,18265,42.7,85.1,0.502,12.1,33.8,0.358,30.6,51.3,0.597,21,27.3,0.767,9.7,32,41.6,25.9,8.5,4.4,14.6,19,118.5
MEM2026,2026,NBA,Memphis Grizzlies,MEM,FALSE,75,18050,40.9,89.2,0.458,13.5,38.2,0.353,27.4,51,0.537,18.1,22.7,0.794,11.1,31,42.1,27.7,8.7,4.9,14.9,20,113.3
MIA2026,2026,NBA,Miami Heat,MIA,FALSE,76,18265,41.8,90.1,0.464,13,36.4,0.356,28.9,53.7,0.538,19.3,24.3,0.793,11.5,33.4,45,27.6,8.6,4.1,13.2,18.3,115.9
MIL2026,2026,NBA,Milwaukee Bucks,MIL,FALSE,75,18075,41.6,87.2,0.477,15.2,39.3,0.386,26.4,47.8,0.552,14.3,19.5,0.732,8.9,32.6,41.5,26.2,7.7,4,15.3,20.2,112.6
MIN2026,2026,NBA,Minnesota Timberwolves,MIN,FALSE,75,18100,42.2,87.5,0.482,13.6,36.6,0.37,28.6,50.9,0.562,18.9,25.2,0.75,11.1,33.1,44.2,25.9,8.6,5.7,14.7,21,116.7
NOP2026,2026,NBA,New Orleans Pelicans,NOP,FALSE,76,18365,41.7,89.7,0.465,11.2,32.2,0.347,30.6,57.5,0.532,19.7,25.2,0.782,12.2,31.3,43.5,25.1,8.7,5.2,14.1,19.7,114.4
NYK2026,2026,NBA,New York Knicks,NYK,FALSE,76,18315,43.7,92,0.475,14.7,39.4,0.374,29,52.6,0.551,17.3,21.9,0.791,13.1,33.9,47,28,8.2,4.1,14.1,20.6,119.5
